cve_id,rhel_version,kernel,patch_id,available
CVE-2024-1086,9,5.14.0-427.x,kpatch-patch-5_14_0-427,1
CVE-2024-0646,9,5.14.0-427.x,kpatch-patch-5_14_0-427,1
CVE-2023-6931,9,5.14.0-362.x,kpatch-patch-5_14_0-362,1
CVE-2023-6817,9,5.14.0-362.x,kpatch-patch-5_14_0-362,1
CVE-2024-1085,9,5.14.0-427.x,kpatch-patch-5_14_0-427,1
CVE-2024-26581,9,5.14.0-427.x,kpatch-patch-5_14_0-427,1
CVE-2024-26583,9,5.14.0-427.x,kpatch-patch-5_14_0-427,1
CVE-2023-4623,8,4.18.0-477.x,kpatch-patch-4_18_0-477,1
CVE-2023-4921,8,4.18.0-477.x,kpatch-patch-4_18_0-477,1
CVE-2023-35001,8,4.18.0-477.x,kpatch-patch-4_18_0-477,1
